"STRATUM","hhweight","region","hhsize","ch14","adult","elderly","sex_hhh","cons","HHID","year","educlevel_hhh","povline","food_povline","CLUSTER","_merge","below_pov"
2,2214.40211721782,1,4,2,2,0,2,83055.3841802709,10503204006102,2018,3,49320,33748,105032,3,0
2,2214.40211721782,1,1,0,1,0,1,343155.546406729,10503204006112,2018,4,49320,33748,105032,3,0
2,2214.40211721782,1,4,1,3,0,2,90275.7595624753,10503204006127,2018,2,49320,33748,105032,3,0
1,1129.21061347021,1,3,2,1,1,2,75963.2077512099,10510103001005,2018,1,49320,33748,105101,3,0
1,1129.21061347021,1,5,3,2,1,2,60833.1409776136,10510103001011,2018,1,49320,33748,105101,3,0
1,1129.21061347021,1,5,1,4,1,2,53770.538130154,10510103001016,2018,1,49320,33748,105101,3,0
1,1129.21061347021,1,2,1,1,0,2,46791.561996492,10510103001021,2018,2,49320,33748,105101,3,1
1,1129.21061347021,1,9,4,5,2,1,53674.8022777812,10510103001031,2018,3,49320,33748,105101,3,0
1,1129.21061347021,1,7,4,3,0,1,59464.4931220374,10510103001036,2018,3,49320,33748,105101,3,0
1,1129.21061347021,1,4,2,2,0,1,69120.5816643117,10510103001041,2018,3,49320,33748,105101,3,0
1,1129.21061347021,1,5,2,3,0,1,57308.7875669486,10510103001046,2018,3,49320,33748,105101,3,0
1,1129.21061347021,1,3,1,2,0,2,67700.4683065205,10510103001057,2018,1,49320,33748,105101,3,0
1,1129.21061347021,1,6,2,4,0,1,65346.9680162969,10510103001062,2018,3,49320,33748,105101,3,0
1,1129.21061347021,1,1,0,1,0,2,93522.9160711959,10510103001067,2018,3,49320,33748,105101,3,0
1,1129.21061347021,1,3,1,2,1,2,48328.7546224387,10510103001077,2018,1,49320,33748,105101,3,1
1,2199.76093533158,1,1,0,1,0,2,138656.230128424,10516101003010,2018,3,49320,33748,105161,3,0
1,2199.76093533158,1,5,2,3,1,2,46833.148945994,10516101003020,2018,1,49320,33748,105161,3,1
1,2199.76093533158,1,4,0,4,1,1,81322.9794588396,10516101003030,2018,1,49320,33748,105161,3,0
1,2199.76093533158,1,3,1,2,0,1,70650.2224761632,10516101003040,2018,2,49320,33748,105161,3,0
1,2199.76093533158,1,5,3,2,0,1,97923.2961591579,10516101003047,2018,1,49320,33748,105161,3,0
1,2199.76093533158,1,3,1,2,0,2,49872.6761500845,10516101003060,2018,2,49320,33748,105161,3,0
1,2199.76093533158,1,4,2,2,0,2,72874.7204665429,10516101003070,2018,3,49320,33748,105161,3,0
1,2199.76093533158,1,6,3,3,0,1,61973.8616603186,10516101003080,2018,3,49320,33748,105161,3,0
1,2199.76093533158,1,1,0,1,0,2,116347.205976865,10516101003090,2018,3,49320,33748,105161,3,0
1,2199.76093533158,1,9,6,3,0,1,57359.1168058148,10516101003110,2018,1,49320,33748,105161,3,0
1,2199.76093533158,1,1,0,1,0,1,104730.925020781,10516101003120,2018,3,49320,33748,105161,3,0
1,2199.76093533158,1,5,2,3,0,2,51654.6402882502,10516101003150,2018,3,49320,33748,105161,3,0
2,2729.01669375436,1,5,2,3,0,1,159842.946319484,10525202003012,2018,3,49320,33748,105252,3,0
2,2729.01669375436,1,2,0,2,2,1,239521.95467484,10525202003035,2018,3,49320,33748,105252,3,0
2,2729.01669375436,1,4,2,2,0,1,201178.690447727,10525202003047,2018,3,49320,33748,105252,3,0
2,2729.01669375436,1,3,0,3,1,1,317836.677520182,10525202003055,2018,4,49320,33748,105252,3,0
2,2729.01669375436,1,3,1,2,0,1,74536.6646375086,10525202003070,2018,3,49320,33748,105252,3,0
2,2729.01669375436,1,4,2,2,0,1,372586.195825787,10525202003082,2018,4,49320,33748,105252,3,0
2,2729.01669375436,1,4,2,2,0,1,134964.116724262,10525202003094,2018,3,49320,33748,105252,3,0
2,2729.01669375436,1,3,1,2,0,1,171173.899430125,10525202003105,2018,4,49320,33748,105252,3,0
2,2729.01669375436,1,1,0,1,0,2,234630.08723385,10525202003129,2018,2,49320,33748,105252,3,0
2,2729.01669375436,1,3,1,2,0,2,145304.77960367,10525202003140,2018,4,49320,33748,105252,3,0
2,2729.01669375436,1,1,0,1,0,1,200348.127997757,10525202003175,2018,4,49320,33748,105252,3,0
1,1554.49772763432,1,6,3,3,0,1,43219.4757166205,10531101011001,2018,2,49320,33748,105311,3,1
1,1554.49772763432,1,6,2,4,0,1,174029.199188933,10531101011008,2018,3,49320,33748,105311,3,0
1,1554.49772763432,1,7,2,5,0,1,212966.587325467,10531101011015,2018,4,49320,33748,105311,3,0
1,1554.49772763432,1,2,1,1,0,2,109662.499217426,10531101011022,2018,1,49320,33748,105311,3,0
1,1554.49772763432,1,3,1,2,0,1,210658.163102463,10531101011037,2018,3,49320,33748,105311,3,0
1,1554.49772763432,1,3,1,2,0,1,127423.39616995,10531101011044,2018,3,49320,33748,105311,3,0
1,1554.49772763432,1,2,0,2,0,2,84729.3990870884,10531101011051,2018,2,49320,33748,105311,3,0
1,1554.49772763432,1,9,4,5,0,1,40286.7510774533,10531101011058,2018,3,49320,33748,105311,3,1
1,1554.49772763432,1,5,4,1,0,2,42147.1207867731,10531101011072,2018,2,49320,33748,105311,3,1
1,1554.49772763432,1,4,2,2,0,1,118192.054047642,10531101011079,2018,3,49320,33748,105311,3,0
1,1554.49772763432,1,3,2,1,0,1,168684.355373603,10531101011086,2018,3,49320,33748,105311,3,0
1,1554.49772763432,1,6,2,4,0,1,80347.6777448808,10531101011100,2018,3,49320,33748,105311,3,0
2,4455.22804686724,1,4,2,2,0,1,172221.886704234,10533202002015,2018,3,49320,33748,105332,3,0
